pair_id,start_node,goal_node,algorithm_name,weight,path_found,total_path_cost,nodes_expanded,execution_time,total_path_length,average_traffic,average_accident_risk,average_bumpiness,average_safety,cumulative_safety,cumulative_contextual_penalty,safe_passage_score
1,4611240095,3095044665,Greedy best-first search,,True,30821.976532435718,2749,0.012615457992069423,15424.616755660454,0.6499323317267539,0.4702443095267985,0.27194750600353196,0.5155086445178682,94.33808194676988,137.22578875555885,-0.7498676981178081
1,4611240095,3095044665,A* search,,True,21669.692145144487,12861,0.08712895796634257,11085.718473889516,0.6352321767633559,0.46927802364165044,0.2667074896843722,0.5214498372132935,87.08212281462002,121.32373676225767,-0.7264894416901656
1,4611240095,3095044665,Weighted A*,1.5,True,21669.692145144487,7689,0.03515791695099324,11085.718473889516,0.6352321767633559,0.46927802364165044,0.2667074896843722,0.5214498372132935,87.08212281462002,121.32373676225767,-0.7264894416901656
2,9894521707,4929774339,Greedy best-first search,,True,16507.021855820607,156,0.0009437080007046461,8263.720393922957,0.649234578788535,0.46721979497684735,0.302708000085488,0.5110781288579183,33.220078375764686,49.971971827543236,-0.7687995665775882
2,9894521707,4929774339,A* search,,True,13550.302057919183,3268,0.015089250053279102,6912.4907997538285,0.6297317672986432,0.45882284116510963,0.2995166183138848,0.5217657255650753,38.08889796625049,53.246781172976824,-0.729407961273655
2,9894521707,4929774339,Weighted A*,1.5,True,13550.302057919183,3462,0.014942750101909041,6912.4907997538285,0.6297317672986432,0.45882284116510963,0.2995166183138848,0.5217657255650753,38.08889796625049,53.246781172976824,-0.729407961273655
3,4923880109,5638893743,Greedy best-first search,,True,32435.429114808026,2192,0.010595790925435722,15654.114279594074,0.6508587536252454,0.454750195408283,0.29195385372291527,0.5189765054637018,72.13773425945455,103.16495209748126,-0.7421938999818796
3,4923880109,5638893743,A* search,,True,23613.027811501048,4383,0.022785292007029057,11270.010965730851,0.6504702660704937,0.46536305603138495,0.2744047654921216,0.5172964390647351,55.350718979926654,79.67958528215011,-0.7446690213285058
3,4923880109,5638893743,Weighted A*,1.5,True,23916.109126693802,3102,0.0273921670159325,11440.523031012146,0.6490933407086988,0.4629911006903482,0.27758132879325664,0.5182601816835649,55.453839440141444,79.36862312988733,-0.7417628329896011
4,9354841428,9918479572,Greedy best-first search,,True,38020.47689780086,2162,0.010773250018246472,19444.97262630155,0.645459454906385,0.4760617326387444,0.2710355135890221,0.5141241944909078,119.27681312189063,174.71421872356206,-0.7530785289808708
